net,length_um
_07209_,185.325
_05852_,185.22
_05037_,184.97
_03770_,184.94
_04590_,184.415
_05561_,184.29
_03871_,184.22
_03736_,183.99
_07892_,183.04
_03737_,182.78
_07897_,182.66
_05488_,182.51
_04504_,182.37
_06065_,182.31
_07189_,182.26
_05337_,182.18
_04108_,182.165
_06471_,182.04
_05871_,181.83
_04439_,181.66
_05018_,181.615
_03940_,181.31
_08125_,181.24
_04861_,181.22
_05041_,181.04
_06732_,180.98
_05799_,180.77
_04430_,180.18
_03440_,180.075
_08738_,179.06
_03263_,178.6
_04433_,178.34
_06736_,178.14
blkProj14999_7.blk3995_50.rs2_data_o\[25\],178.09
_04141_,177.96
_03249_,177.755
_06587_,177.72
_04823_,177.7
_00501_,176.95
_03285_,176.74
_06399_,176.69
_05863_,176.45
_04780_,176.34
_04355_,176.23
_04563_,176.22
_07208_,176.17
_03745_,176
net77,175.67
net93,175.64
_04561_,175.53
net83,175.495
_04523_,174.855
_08622_,174.835
_07908_,174.8
_06763_,174.61
_05833_,174.46
_06414_,174.26
blkProj14999_7.blk3995_50.rs2_data_o\[24\],174.09
blkProj14999_7.blk3995_50.rs2_data_o\[17\],173.89
_05746_,173.34
_05273_,173.295
_06738_,173.23
_06765_,173.03
_00171_,172.98
_08440_,172
_05380_,171.95
_04422_,171.9
_06534_,171.58
_06081_,171.32
_03767_,171.04
_05768_,170.81
_06954_,170.805
_06515_,170.68
_03212_,170.66
_05017_,170.6
_03080_,170.46
_05745_,170.42
_05321_,170.235
blkProj14999_7.blk3995_50.rs2_data_o\[10\],170.04
_03771_,169.9
_03743_,169.85
_04491_,169.82
_03393_,169.76
_08670_,169.66
_03873_,169.2
_02904_,168.78
_05442_,168.72
_04778_,168.285
_03116_,168.24
_05533_,167.98
_03321_,167.97
_06449_,167.6
_04534_,167.575
_04842_,167.12
_04407_,166.95
_06953_,166.82
blkProj14999_7.blk3989_105.MULT\[19\],166.8
_04022_,166.7
net74,166.62
_08803_,166.26
_07052_,166.25
_05704_,166.1
_04588_,165.96
_05594_,165.88
_04442_,165.53
blkProj14523_5.blk4197_44.state\[4\],165.31
_05475_,165.26
_07870_,164.92
_05289_,164.86
net80,164.74
_04165_,164.51
_06454_,164.2
_04420_,164.08
_04445_,164.02
_04051_,164.01
_05042_,163.88
_08912_,163.58
net70,163.18
_03823_,163.08
_08718_,162.98
_06516_,162.68
_08514_,162.66
_06251_,162.245
_03791_,162.16
_02941_,162.14
_08561_,162.06
net88,161.95
_05324_,161.74
_05687_,161.65
_04026_,161.62
_06503_,161.46
_06052_,161.27
_05567_,161.07
_06951_,161.065
_04038_,160.96
_04779_,160.96
_03464_,160.55
_05040_,160.28
_06014_,160.1
_05938_,159.96
_04528_,159.82
_03757_,159.015
_05717_,158.68
_05371_,158.62
_08851_,158.62
blkProj14999_7.blkProj14963_55.blk1779_46.A\[6\],158.58
blkProj14999_7.blk3995_50.rs2_data_o\[27\],158.31
_07803_,158.2
_04530_,158.19
_03164_,158.16
_06703_,158.12
_05500_,158.04
_05619_,157.74
_06884_,157.5
_05969_,157.495
_05548_,157.38
_05456_,157.14
_03849_,156.97
_05665_,156.95
_06698_,156.92
_03127_,156.88
_05677_,156.82
_06715_,156.7
_06486_,156.65
_03895_,156.64
_07214_,156.63
_03874_,156.62
_05039_,156.535
_07905_,156.29
_07033_,156.28
_08887_,156.2
_04525_,156.13
_07170_,156.125
_07215_,155.86
_05272_,155.7
_07171_,155.63
_08293_,155.36
_04536_,155.34
_06776_,155.14
_03091_,154.94
_03936_,154.64
